<Thu Jan 15 14:55:53 2026><DYNAMIC><Updated DRONE STATE - x: 5.000000, y: 5.000000, vx: 0.000000, vy: 0.000000, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:53 2026><DYNAMIC><Updated DRONE STATE - x: 4.964644, y: 4.964644, vx: -0.707107, vy: -0.707107, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.964644, y: 4.964644, vx: -0.707107, vy: -0.707107, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.895701, y: 4.895701, vx: -1.378858, vy: -1.378858, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.895701, y: 4.895701, vx: -1.378858, vy: -1.378858, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.829850, y: 4.829850, vx: -1.317028, vy: -1.317028, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.830086, y: 4.830086, vx: -1.312299, vy: -1.312299, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.767228, y: 4.767228, vx: -1.252444, vy: -1.252444, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.767712, y: 4.767712, vx: -1.247489, vy: -1.247489, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.707708, y: 4.707708, vx: -1.190405, vy: -1.190405, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:54 2026><DYNAMIC><Updated DRONE STATE - x: 4.708430, y: 4.708430, vx: -1.185628, vy: -1.185628, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.651144, y: 4.651144, vx: -1.131281, vy: -1.131281, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.652095, y: 4.652095, vx: -1.126709, vy: -1.126709, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.597394, y: 4.597394, vx: -1.075007, vy: -1.075007, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.598563, y: 4.598563, vx: -1.070642, vy: -1.070642, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.546319, y: 4.546319, vx: -1.021479, vy: -1.021479, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.547697, y: 4.547697, vx: -1.017319, vy: -1.017319, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.497790, y: 4.497790, vx: -0.970580, vy: -0.970580, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.499366, y: 4.499366, vx: -0.966620, vy: -0.966620, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:55 2026><DYNAMIC><Updated DRONE STATE - x: 4.451681, y: 4.451681, vx: -0.922193, vy: -0.922193, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.453445, y: 4.453445, vx: -0.918418, vy: -0.918418, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.407871, y: 4.407871, vx: -0.876195, vy: -0.876195, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.409815, y: 4.409815, vx: -0.872605, vy: -0.872605, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.366247, y: 4.366247, vx: -0.832477, vy: -0.832477, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.368362, y: 4.368362, vx: -0.829055, vy: -0.829055, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.326701, y: 4.326701, vx: -0.790914, vy: -0.790914, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.328979, y: 4.328979, vx: -0.787655, vy: -0.787655, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:56 2026><DYNAMIC><Updated DRONE STATE - x: 4.289131, y: 4.289131, vx: -0.751408, vy: -0.751408, fx: 0.000000, fy: 0.000000>
